City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Dinguiraye,GN,2020-06-21 22:43:42,11.3,-10.72,80.22,68,33,1.86
243,Mosquera,CO,2020-06-21 22:43:12,4.71,-74.23,64.4,48,40,11.41
244,Husavik,IS,2020-06-21 22:43:42,66.04,-17.34,59.0,58,40,24.16
245,Kangaatsiaq,GL,2020-06-21 22:43:42,68.31,-53.46,42.66,69,8,8.08
246,Jishou,CN,2020-06-21 22:43:42,28.32,109.72,73.13,93,100,2.26
247,Fortuna,US,2020-06-21 22:43:42,40.6,-124.16,64.99,93,75,13.87
248,Tura,IN,2020-06-21 22:42:16,25.52,90.22,73.69,96,20,5.12
249,Mahanoro,MG,2020-06-21 22:43:42,-19.9,48.8,68.56,87,86,5.3
250,Yushu,CN,2020-06-21 22:43:42,44.8,126.53,64.96,85,100,4.16
251,Ohringen,DE,2020-06-21 22:43:42,49.2,9.5,66.0,77,7,3.36
252,Wenling,CN,2020-06-21 22:43:42,28.37,121.36,78.01,100,100,2.08
253,Lompoc,US,2020-06-21 22:43:12,34.64,-120.46,66.2,68,10,18.34
254,Cherskiy,RU,2020-06-21 22:42:48,68.75,161.3,85.08,22,14,17.13
255,Beringovskiy,RU,2020-06-21 22:43:42,63.05,179.32,53.47,46,0,6.58
256,Alta Floresta,BR,2020-06-21 22:43:42,-9.88,-56.09,75.22,64,11,4.03
257,Barcelos,PT,2020-06-21 22:43:42,41.54,-8.62,64.99,93,90,8.05
258,Istok,XK,2020-06-21 22:43:43,42.78,20.49,59.0,77,75,4.7
259,Adrar,MR,2020-06-21 22:43:43,20.5,-10.07,100.92,9,50,12.28
260,Aykhal,RU,2020-06-21 22:43:43,66.0,111.5,68.0,45,81,2.24
261,Uglegorsk,RU,2020-06-21 22:43:43,49.08,142.03,51.62,77,100,3.91
262,Carballo,ES,2020-06-21 22:43:43,43.21,-8.69,60.01,90,45,1.99
263,Srednekolymsk,RU,2020-06-21 22:43:43,67.45,153.68,86.95,23,0,9.84
264,Kokstad,ZA,2020-06-21 22:43:43,-30.55,29.42,44.6,85,40,1.95
265,Codrington,AU,2020-06-21 22:43:43,-38.27,141.97,47.52,91,71,3.4
266,Polyarnyy,RU,2020-06-21 22:43:43,69.2,33.45,51.8,53,55,4.47
267,Mackay,AU,2020-06-21 22:43:43,-21.15,149.2,66.0,88,0,6.93
268,South Ogden,US,2020-06-21 22:43:43,41.19,-111.97,86.0,16,1,5.82
269,Lavrentiya,RU,2020-06-21 22:43:43,65.58,-171.0,58.26,43,6,6.71
270,Zaysan,KZ,2020-06-21 22:43:43,47.47,84.87,46.35,51,0,7.83
271,Tremedal,BR,2020-06-21 22:43:43,-14.98,-41.41,64.87,73,17,6.33
272,Daru,PG,2020-06-21 22:42:54,-9.08,143.21,79.05,85,5,11.99
273,Takoradi,GH,2020-06-21 22:43:43,4.88,-1.76,77.16,87,100,12.21
274,Kamenka,RU,2020-06-21 22:43:43,51.32,42.77,63.0,89,53,5.99
275,Beatrice,US,2020-06-21 22:40:09,40.27,-96.75,80.6,54,1,6.93
276,Hasan Abdal,PK,2020-06-21 22:43:43,30.43,72.7,97.12,24,0,10.2
277,Yulara,AU,2020-06-21 22:43:43,-25.24,130.99,33.8,74,0,6.93
